Close,Volume,Intra-day variation,Day of Week,Change,RSI (14),20-VWAP,Month,Day,BUY/NO_BUY 5=>15,QuoteDate,5 Day Profit,10 Day Profit,15 Day Profit,30 Day Profit
43.419998,544400,1.28000299999999,3,0.799999,43.4243552936062,44.407438629073,4,26,-1,'2006-04-26',-0.04422,-0.04146,-0.12414,-0.216950677888101
42.59,276500,0.989998,4,-0.829997999999996,39.2205697517816,44.3330564395343,4,27,-1,'2006-04-27',-0.03311,-0.05259,-0.10331,-0.192768231979338
42.380001,152600,0.610000000000007,5,-0.209999000000003,38.2126200671603,44.2731365356047,4,28,-1,'2006-04-28',-0.00071,-0.05805,-0.10123,-0.213780103497402
41.880001,351200,0.669998,1,-0.5,35.8502159435801,44.1576085246684,5,1,-1,'2006-05-01',-0.00358,-0.05492,-0.10745,-0.223018141761745
41.450001,596400,0.509998000000003,2,-0.43,33.9086970865063,43.9487416645596,5,2,-1,'2006-05-02',-0.00386,-0.06297,-0.10615,-0.205790175976112
41.5,373400,0.650002000000001,3,0.049999,34.353877921,43.793047278286,5,3,-1,'2006-05-03',0.00289,-0.08361,-0.09663,-0.173494
41.18,203600,0.569999000000003,4,-0.32,32.8297109438407,43.5354715512583,5,4,-1,'2006-05-04',-0.02016,-0.07261,-0.08451,-0.171685259834871
42.349998,727600,1.25,5,1.169998,42.8188780166038,43.3729333263492,5,5,-1,'2006-05-05',-0.05738,-0.10059,-0.10319,-0.21109795565988
41.73,383800,0.689998000000003,1,-0.619998000000003,39.4692200986166,43.1922865719869,5,8,-1,'2006-05-08',-0.05152,-0.10424,-0.11790,-0.212796597172298
41.290001,97800,0.440002999999997,2,-0.439999,37.2425752022969,43.1119724270068,5,9,-1,'2006-05-09',-0.05934,-0.10269,-0.11116,-0.184790525919338
41.619999,158600,0.610000999999997,3,0.329998000000003,39.9775325821014,43.0454314534467,5,10,-1,'2006-05-10',-0.08626,-0.09923,-0.10043,-0.191254185277611
40.349998,789900,0.960003,4,-1.270001,33.8615084773162,42.740000617491,5,11,-1,'2006-05-11',-0.05353,-0.06568,-0.08773,-0.161090466472886
39.919998,1182900,0.809997000000003,5,-0.43,32.0724114532258,42.3664025651478,5,12,-1,'2006-05-12',-0.04584,-0.04860,-0.11799,-0.140280518050126
39.580002,452800,1.079998,1,-0.339995999999999,30.6915915531625,42.2198992075981,5,15,-1,'2006-05-15',-0.05558,-0.06998,-0.13466,-0.152855045333247
38.84,264900,1.05,2,-0.740001999999997,27.8782956647342,41.8972319864804,5,16,-1,'2006-05-16',-0.04609,-0.05510,-0.12487,-0.142636483007209
38.029999,364100,0.899997000000006,3,-0.810001000000007,25.1597328518675,41.6698372459117,5,17,-1,'2006-05-17',-0.01420,-0.01551,-0.10597,-0.099658088342311
38.189999,657500,1.200001,4,0.160000000000004,26.6806682275981,41.2661373305246,5,18,-1,'2006-05-18',-0.01283,-0.03614,-0.09976,-0.110238258974555
38.09,211000,0.639999999999993,5,-0.099998999999997,26.3206435306887,41.1303669362463,5,19,-1,'2006-05-19',-0.00289,-0.07561,-0.12523,-0.112890496193227
37.380001,379500,1.049999,1,-0.709999000000003,23.8589515564553,40.7076322585334,5,22,-1,'2006-05-22',-0.01525,-0.08373,-0.12948,-0.113429691989575
37.049999,833000,1.100003,2,-0.330002,22.7919566767656,40.2161693029273,5,23,-1,'2006-05-23',-0.00945,-0.08259,-0.11147,-0.097975738136997
37.490002,146900,1.260002,3,0.440002999999997,27.4506916544139,39.9669086893189,5,24,-1,'2006-05-24',-0.00133,-0.09309,-0.08509,-0.117631362089551
37.700001,159700,0.390003999999998,4,0.209999000000003,29.6330226822227,39.8387969557215,5,25,-1,'2006-05-25',-0.02361,-0.08806,-0.09523,-0.124137954266898
37.98,259800,0.239997000000002,5,0.279998999999997,32.5465265960391,39.7374864295355,5,26,-1,'2006-05-26',-0.07293,-0.12270,-0.12033,-0.142180042127435
36.810001,436100,0.75,2,-1.169999,27.4348537264514,39.5036971247566,5,30,-1,'2006-05-30',-0.06955,-0.11600,-0.10758,-0.13936432655897
36.700001,612300,0.509998000000003,3,-0.109999999999999,27.0054150651947,39.1727698581746,5,31,-1,'2006-05-31',-0.07384,-0.10300,-0.08283,-0.150681222052283
37.439999,512800,1.040001,4,0.739998,34.4400500156618,38.9738301629955,6,1,-1,'2006-06-01',-0.09188,-0.08387,-0.10096,-0.196046987073905
36.810001,340700,1.139999,5,-0.629998000000001,31.4986489834003,38.8415929309607,6,2,-1,'2006-06-02',-0.06601,-0.07335,-0.08041,-0.189079076634635
35.209999,635200,1.16,1,-1.600002,25.534106117586,38.2943083484847,6,5,-1,'2006-06-05',-0.05368,-0.05112,-0.02528,-0.165009916643281
34.25,1277000,1.299999,2,-0.959999000000003,22.7504809294921,37.63089568879,6,6,-1,'2006-06-06',-0.04993,-0.04088,-0.02102,-0.103649605839416
33.990002,820400,1.07,3,-0.259998000000003,22.0493958837027,37.3121898468523,6,7,-1,'2006-06-07',-0.03148,-0.00971,-0.02030,-0.130332531313178
34,1036400,1.23,4,0.009998000000003,22.1487471796108,36.9502793324746,6,8,-1,'2006-06-08',0.00882,-0.01000,0.00706,-0.131176441176471
34.380001,1003600,0.669998,5,0.380001,26.0087760493002,36.4958777729187,6,9,-1,'2006-06-09',-0.00785,-0.01542,-0.01163,-0.109947669867723
33.32,446000,0.879996999999996,1,-1.060001,22.6370586848559,35.992008237048,6,12,-1,'2006-06-12',0.00270,0.03001,0.01411,-0.071728691476591
32.540001,459900,1.129997,2,-0.779999000000004,20.5281687641435,35.6961363683406,6,13,-1,'2006-06-13',0.00953,0.03042,0.01844,-0.051628763010794
32.919998,444600,0.420002000000004,3,0.379997000000003,24.2315069196973,35.5088414293118,6,14,-1,'2006-06-14',0.02248,0.01154,0.01519,-0.074726584126767
34.299999,656600,1.209999,4,1.380001,35.911536109559,35.3577531240268,6,15,-1,'2006-06-15',-0.01866,-0.00175,-0.03557,-0.088046591488239
34.110001,694000,0.720001000000003,5,-0.189998000000003,35.1090659975976,35.1177160260085,6,16,-1,'2006-06-16',-0.00762,-0.00381,-0.03196,-0.089416649386788
33.41,599000,0.889998999999996,1,-0.700001,32.2497899365157,34.9773260299996,6,19,-1,'2006-06-19',0.02724,0.01137,-0.02484,-0.077521700089793
32.849998,863500,0.849997999999999,2,-0.560001999999997,30.1353804813668,34.7527080193749,6,20,-1,'2006-06-20',0.02070,0.00883,-0.03562,-0.052663534408739
33.66,884100,1.23,3,0.810001999999997,36.6093223171918,34.5183683430252,6,21,-1,'2006-06-21',-0.01070,-0.00713,-0.07398,-0.037136066547831
33.66,636400,0.43,4,0,36.6093223171918,34.4414556096994,6,22,-1,'2006-06-22',0.01723,-0.01723,-0.10576,-0.037433095662507
33.849998,256700,0.829997999999996,5,0.189998000000003,38.1680027201266,34.3892449964039,6,23,-1,'2006-06-23',0.00384,-0.02452,-0.11817,-0.035745910531516
34.32,924400,0.950001,1,0.470002000000001,41.9692426195576,34.3156179422882,6,26,-1,'2006-06-26',-0.01544,-0.05070,-0.14336,-0.0786712995338
33.529999,692100,0.839999999999996,2,-0.790001000000004,37.7665124805541,34.1973544745827,6,27,-1,'2006-06-27',-0.01163,-0.05517,-0.08440,-0.096331646177502
33.299999,405900,0.550002999999997,3,-0.229999999999997,36.6168605910283,34.0577882677401,6,28,-1,'2006-06-28',0.00360,-0.06396,-0.11231,-0.084384356888419
34.240002,654200,1.2,4,0.940002999999997,44.1056781983299,33.9401545389529,6,29,-1,'2006-06-29',-0.03388,-0.12091,-0.13727,-0.124123882936689
33.98,210200,2.09,5,-0.260002,42.6061857067852,33.8688775596903,6,30,-1,'2006-06-30',-0.02825,-0.12154,-0.09947,-0.125073572689817
33.790001,314000,0.409999999999997,1,-0.189999,41.4959509416892,33.8028599696137,7,3,-1,'2006-07-03',-0.03581,-0.12992,-0.08464,-0.093222903426372
33.139999,461100,0.419998,3,-0.650001999999994,37.8611240610076,33.7325208876925,7,5,-1,'2006-07-05',-0.04406,-0.07363,-0.06880,-0.047072994781925
33.419998,175100,0.43,4,0.279998999999997,40.2875625145368,33.7100158307299,7,6,-1,'2006-07-06',-0.06732,-0.11550,-0.08857,-0.045182468293385
